run_no,spat_feed,diff_mort,juv-mort,time,BA
7,TRUE,TRUE,0,43,34.46688984
5,TRUE,TRUE,0,32,36.9651481
1,TRUE,TRUE,0,41,34.8577278
6,TRUE,TRUE,0,39,32.55282945
8,TRUE,TRUE,0,27,34.4713257
3,TRUE,TRUE,0,35,36.23303207
7,TRUE,TRUE,0,44,35.42206252
4,TRUE,TRUE,0,25,38.47122879
2,TRUE,TRUE,0,33,29.70684488
1,TRUE,TRUE,0,42,34.33386069
7,TRUE,TRUE,0,45,36.11904814
6,TRUE,TRUE,0,40,33.13326643
8,TRUE,TRUE,0,28,34.73785165
4,TRUE,TRUE,0,26,38.98049
5,TRUE,TRUE,0,33,35.70869797
3,TRUE,TRUE,0,36,36.59461802
2,TRUE,TRUE,0,34,29.45189409
6,TRUE,TRUE,0,41,33.34469999
7,TRUE,TRUE,0,46,36.99890918
1,TRUE,TRUE,0,43,34.47081613
8,TRUE,TRUE,0,29,35.34383827
6,TRUE,TRUE,0,42,33.54547973
5,TRUE,TRUE,0,34,35.55663758
4,TRUE,TRUE,0,27,38.30071891
7,TRUE,TRUE,0,47,37.91312491
2,TRUE,TRUE,0,35,30.04072838
1,TRUE,TRUE,0,44,33.32736025
6,TRUE,TRUE,0,43,34.04027073
3,TRUE,TRUE,0,37,35.84866295
8,TRUE,TRUE,0,30,35.10344835
7,TRUE,TRUE,0,48,38.62273367
4,TRUE,TRUE,0,28,38.6537271
2,TRUE,TRUE,0,36,30.35734381
3,TRUE,TRUE,0,38,34.63861657
7,TRUE,TRUE,0,49,38.87780576
8,TRUE,TRUE,0,31,35.2805955
5,TRUE,TRUE,0,35,35.4860089
6,TRUE,TRUE,0,44,33.82735344
4,TRUE,TRUE,0,29,37.38227249
7,TRUE,TRUE,0,50,39.58439063
1,TRUE,TRUE,0,45,33.2818094
2,TRUE,TRUE,0,37,29.72455027
3,TRUE,TRUE,0,39,35.10974311
8,TRUE,TRUE,0,32,35.89298911
7,TRUE,TRUE,0,51,40.23074243
3,TRUE,TRUE,0,40,35.4642694
1,TRUE,TRUE,0,46,33.24777076
6,TRUE,TRUE,0,45,34.22550836
8,TRUE,TRUE,0,33,35.97937473
5,TRUE,TRUE,0,36,35.82849403
3,TRUE,TRUE,0,41,35.08217779
2,TRUE,TRUE,0,38,30.03115234
7,TRUE,TRUE,0,52,40.03260387
4,TRUE,TRUE,0,30,35.45727702
5,TRUE,TRUE,0,37,35.33784445
7,TRUE,TRUE,0,53,40.12965015
6,TRUE,TRUE,0,46,34.65147594
1,TRUE,TRUE,0,47,33.7760789
2,TRUE,TRUE,0,39,30.80367645
3,TRUE,TRUE,0,42,35.31030957
7,TRUE,TRUE,0,54,40.00246349
8,TRUE,TRUE,0,34,36.49078224
5,TRUE,TRUE,0,38,35.59724976
6,TRUE,TRUE,0,47,35.49994921
1,TRUE,TRUE,0,48,34.17902101
7,TRUE,TRUE,0,55,39.81608647
3,TRUE,TRUE,0,43,35.98403109
4,TRUE,TRUE,0,31,35.49149647
8,TRUE,TRUE,0,35,36.17438917
2,TRUE,TRUE,0,40,31.45156625
7,TRUE,TRUE,0,56,39.77733916
5,TRUE,TRUE,0,39,35.27701773
3,TRUE,TRUE,0,44,36.4369577
1,TRUE,TRUE,0,49,33.63170032
4,TRUE,TRUE,0,32,36.14262705
7,TRUE,TRUE,0,57,40.48046162
2,TRUE,TRUE,0,41,31.84186281
6,TRUE,TRUE,0,48,36.21420114
5,TRUE,TRUE,0,40,35.69939041
7,TRUE,TRUE,0,58,40.79841112
8,TRUE,TRUE,0,36,36.75986311
3,TRUE,TRUE,0,45,37.23395747
4,TRUE,TRUE,0,33,35.35602605
