run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
11,TRUE,1,6,43.11915786,377,35.00538783,15.20881224
10,TRUE,0.8,20,39.79413403,348,35.60785922,13.7256915
11,TRUE,1,7,42.78125173,372,35.11930891,15.20968415
10,TRUE,0.8,21,39.74508373,346,35.70718482,13.70850381
11,TRUE,1,8,42.87702368,371,35.23621429,15.17699701
11,TRUE,1,9,43.06547004,371,35.35052344,15.12397678
10,TRUE,0.8,22,39.28244291,342,35.70475074,13.71079147
11,TRUE,1,10,42.96808699,369,35.42804923,15.0963055
10,TRUE,0.8,23,39.4641383,342,35.81765277,13.66273889
11,TRUE,1,11,42.30465509,362,35.49980722,15.10482491
11,TRUE,1,12,42.46284044,361,35.66186056,15.04393816
10,TRUE,0.8,24,39.38601906,339,35.9585917,13.66109968
1,TRUE,0,43,75.86954132,281,5.612191361,4.383266648
11,TRUE,1,13,42.12327216,356,35.77499855,15.07108417
10,TRUE,0.8,25,39.33778237,335,36.1804067,13.65496046
11,TRUE,1,14,41.68262565,352,35.84249984,14.94927986
10,TRUE,0.8,26,39.43868674,334,36.3064967,13.62494682
11,TRUE,1,15,41.59449009,349,35.98290772,14.93801648
11,TRUE,1,16,40.49462483,345,35.75765651,14.70705047
11,TRUE,1,17,40.42458603,343,35.84745329,14.69638118
10,TRUE,0.8,27,38.18010783,329,36.07973957,13.27319006
10,TRUE,0.8,28,38.23447446,327,36.24208685,13.25105368
11,TRUE,1,18,40.19113404,341,35.87950903,14.62073592
10,TRUE,0.8,29,38.23908129,325,36.38267964,13.21821665
11,TRUE,1,19,40.25764882,341,35.9318705,14.57687371
11,TRUE,1,20,39.98540841,339,35.92254522,14.55336137
10,TRUE,0.8,30,38.04338709,321,36.55734422,13.14862135
11,TRUE,1,21,39.03527256,335,35.76904898,14.30430208
11,TRUE,1,22,38.69878995,333,35.73605856,14.24838591
10,TRUE,0.8,31,37.86768127,318,36.68005646,13.08045286
11,TRUE,1,23,38.19633199,328,35.78851953,14.22400588
10,TRUE,0.8,32,36.86904917,313,36.58610966,12.71058055
2,TRUE,0,42,77.61794351,277,5.556267576,4.369513703
11,TRUE,1,24,37.68336705,322,35.9443549,14.0885502
10,TRUE,0.8,33,36.56616454,309,36.66842681,12.7464393
11,TRUE,1,25,36.9440353,319,35.84435402,13.78954945
11,TRUE,1,26,35.4069911,314,35.57790835,13.04943554
10,TRUE,0.8,34,35.85398628,305,36.58536041,12.59293422
11,TRUE,1,27,35.1596667,311,35.65847279,12.97192305
10,TRUE,0.8,35,35.36323774,302,36.56073447,12.43197931
1,TRUE,0,44,77.38110848,274,5.911660579,4.380308927
11,TRUE,1,28,35.1377072,310,35.72807536,12.92442772
11,TRUE,1,29,35.09548576,308,35.83623965,12.92007009
10,TRUE,0.8,36,35.01998376,298,36.63239508,12.43631972
11,TRUE,1,30,34.71200296,304,35.89244617,12.88131542
10,TRUE,0.8,37,34.44286,294,36.58587434,12.38690213
11,TRUE,1,31,34.71086446,303,35.97183178,12.84412833
10,TRUE,0.8,38,34.23099242,291,36.66595435,12.39687036
10,TRUE,0.8,39,33.94074405,289,36.65858108,12.32063624
11,TRUE,1,32,34.51189406,300,36.05287546,12.85618488
10,TRUE,0.8,40,33.41329005,283,36.76146673,12.33807581
11,TRUE,1,33,32.77157804,293,35.71305477,12.20653693
10,TRUE,0.8,41,32.83389621,279,36.70021034,12.32260225
11,TRUE,1,34,32.66779411,291,35.78789544,12.20235581
10,TRUE,0.8,42,32.79855948,277,36.82614476,12.32006745
11,TRUE,1,35,31.82742785,285,35.70531601,12.13901671
10,TRUE,0.8,43,32.71916041,274,37.00976675,12.29002736
11,TRUE,1,36,31.01772377,279,35.63361883,12.0873823
10,TRUE,0.8,44,32.75737906,273,37.11594287,12.26887556
11,TRUE,1,37,30.90670365,277,35.70412253,12.09115229
10,TRUE,0.8,45,32.58017239,271,37.18031142,12.19381788
2,TRUE,0,43,79.43770281,275,5.831861338,4.442992383
11,TRUE,1,38,30.48159919,275,35.64486975,11.87685529
11,TRUE,1,39,30.54518935,275,35.69793514,11.84122472
10,TRUE,0.8,46,32.49782799,270,37.22544127,12.12903273
10,TRUE,0.8,47,32.50103834,268,37.38556578,12.11431836
10,TRUE,0.8,48,32.09356629,265,37.41424419,11.93752653
10,TRUE,0.8,49,32.13515157,264,37.52509973,11.91817335
11,TRUE,1,40,29.85027526,270,35.61627526,11.8095305
11,TRUE,1,41,29.43464222,266,35.65318981,11.75200214
10,TRUE,0.8,50,31.87290746,259,37.74183316,11.94858867
11,TRUE,1,42,29.11923994,263,35.68124805,11.70091279
1,TRUE,0,45,79.02708166,275,6.206669011,4.411563074
12,TRUE,1,0,45.20643052,411,34.22543849,15.14757365
12,TRUE,1,1,45.31969618,408,34.45351993,15.08689895
11,TRUE,1,43,29.13152022,261,35.84980717,11.67286203
12,TRUE,1,2,44.95526412,404,34.54490324,14.9606975
11,TRUE,1,44,29.19905037,260,35.97912083,11.65070828
11,TRUE,1,45,28.89710924,255,36.16456694,11.6330656
11,TRUE,1,46,28.79933857,253,36.2609189,11.61193039
11,TRUE,1,47,28.49885711,250,36.31002231,11.54826531
12,TRUE,1,3,44.32727555,397,34.61217071,14.96732914
11,TRUE,1,48,28.48771777,248,36.46491876,11.54232993
12,TRUE,1,4,44.24822794,394,34.743533,14.93926123
11,TRUE,1,49,28.29098111,246,36.52164192,11.43624714
12,TRUE,1,5,44.01282069,391,34.80570491,14.90517739
11,TRUE,1,50,28.1325601,244,36.57616236,11.42544673
12,TRUE,1,6,43.26156969,383,34.89023553,14.87426995
12,TRUE,1,7,43.29608198,380,35.0813941,14.84517882
13,FALSE,0,0,46.05862726,420,34.20302491,15.05954162
12,TRUE,1,8,43.09889298,377,35.17049857,14.79879136
12,TRUE,1,9,42.71366969,374,35.19121059,14.70051876
12,TRUE,1,10,42.20042481,370,35.25187802,14.48723597
13,FALSE,0,1,45.30850059,416,21.77373893,19.52632632
2,TRUE,0,44,81.43774278,274,6.060732927,4.515308201
12,TRUE,1,11,41.9025903,367,35.29633932,14.43195788
13,FALSE,0,2,45.08569042,412,20.28041507,19.41352303
12,TRUE,1,12,41.61069619,362,35.42143369,14.46571348
1,TRUE,0,46,80.73015325,280,6.245471976,4.4685926
12,TRUE,1,13,41.40096344,357,35.6290296,14.40577591
13,FALSE,0,3,44.96278169,407,18.43161592,19.17910121
12,TRUE,1,14,41.18906841,354,35.70660017,14.38357753
13,FALSE,0,4,44.37213996,400,16.56485019,18.70708161
12,TRUE,1,15,40.97449111,351,35.77000537,14.39579747
12,TRUE,1,16,41.0443613,351,35.82269536,14.35261008
12,TRUE,1,17,41.00201323,349,35.92946342,14.32914314
12,TRUE,1,18,40.49110079,345,35.94168692,14.24547996
13,FALSE,0,5,44.43563287,397,14.96643853,18.14518818
12,TRUE,1,19,40.09758674,344,35.87546421,14.05189352
12,TRUE,1,20,39.60993835,341,35.85375423,13.92325049
12,TRUE,1,21,39.62723432,340,35.93577596,13.89117069
13,FALSE,0,6,44.55688597,395,13.27467897,17.36884978
12,TRUE,1,22,38.75364634,335,35.86808404,13.66611735
12,TRUE,1,23,38.90448753,334,36.03273739,13.60439267
12,TRUE,1,24,38.68203195,329,36.2146731,13.6335688
13,FALSE,0,7,44.88981847,395,11.84255738,16.52708151
12,TRUE,1,25,38.39854562,326,36.256697,13.62118372
12,TRUE,1,26,38.0980252,323,36.32223862,13.52255
13,FALSE,0,8,45.02878993,394,10.49248601,15.56087493
12,TRUE,1,27,37.65669643,318,36.40510544,13.51973778
2,TRUE,0,45,82.49375639,335,6.501381228,4.656211589
1,TRUE,0,47,81.83119791,284,6.566322835,4.558940103
12,TRUE,1,28,37.54133281,316,36.49112877,13.46868706
12,TRUE,1,29,37.70930115,316,36.60115535,13.42111608
12,TRUE,1,30,37.67299826,314,36.72522282,13.38784193
13,FALSE,0,9,45.20079834,391,9.387705142,14.63995683
12,TRUE,1,31,37.71091467,313,36.82256804,13.36025175
12,TRUE,1,32,37.26559602,309,36.84717924,13.34908114
12,TRUE,1,33,36.4876797,305,36.73373275,13.19867972
13,FALSE,0,10,44.97585426,386,8.218144409,13.5098617
12,TRUE,1,34,36.2772876,302,36.81589494,13.20714499
13,FALSE,0,11,45.49362681,386,7.434208534,12.59926841
12,TRUE,1,35,36.26385252,301,36.88503461,13.18504339
12,TRUE,1,36,36.03573138,298,36.95857118,13.19534338
12,TRUE,1,37,35.48940479,293,37.01291373,13.13907554
12,TRUE,1,38,35.06104926,289,37.03070362,13.18345035
13,FALSE,0,12,45.43675187,383,6.744200919,11.65703407
12,TRUE,1,39,34.64627975,285,37.06096653,13.21825197
12,TRUE,1,40,34.1561585,282,36.99386929,13.19215506
1,TRUE,0,48,82.61130609,288,7.019153609,4.63091022
2,TRUE,0,46,83.74848896,359,6.863885992,4.764910889
12,TRUE,1,41,33.99843326,281,36.98848599,13.14422208
13,FALSE,0,13,45.24460157,379,4.367043428,8.438779577
12,TRUE,1,42,33.83282212,277,37.18525796,13.14593369
12,TRUE,1,43,33.92421942,276,37.33034362,13.10926405
12,TRUE,1,44,33.32074527,272,37.28702821,13.03277026
