"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.32.nlogo"
"Experiment_1"
"01/24/2016 18:48:58:380 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","juvenile-mortality","drought-rate","[step]","sum [BA] of trees","count trees with [tree-size-t1 > 10]","mean [tree-size-t1] of trees","standard-deviation [tree-size-t1] of trees"
"7","true","0","1","6","39.684550962512944","365","20.46007923043686","18.670666320937286"
"5","true","0","1","9","39.08013645443622","286","24.48409024221232","20.721930813958608"
"6","true","0","1","8","38.280035734790616","302","23.705248797132132","20.33664341547612"
"1","true","0","1","7","39.90966794914454","289","20.11322798644189","20.848266471712414"
"2","true","0","1","7","37.78058912673696","314","25.330422942638503","19.727851935641308"
"8","true","0","1","6","40.38162334428506","352","26.378574728323702","18.76014010555908"
"3","true","0","1","5","39.82724514345441","352","19.744941613963327","18.994708568710386"
"4","true","0","1","7","40.74109310974165","289","27.608298022817227","21.297651352732526"
"5","true","0","1","10","37.28362020262221","278","24.03948660296838","20.396362060520644"
"7","true","0","1","7","39.53976298384165","363","20.463602149280643","18.560064550256683"
"6","true","0","1","9","38.28876788530092","300","23.476116261774003","20.324581279203194"
"8","true","0","1","7","40.5826237455422","352","26.51611211415837","18.70473371937378"
"5","true","0","1","11","36.2126353679848","274","23.721885308378663","20.115874236087084"
"3","true","0","1","6","39.32158217057714","346","19.551208415873255","18.88594762074802"
"4","true","0","1","8","40.39408825728362","285","27.594878555148703","21.271210647850612"
"1","true","0","1","8","38.87393466389228","285","19.787834049562388","20.53891878397477"
"2","true","0","1","8","37.73534053967245","312","25.320374033512287","19.708787721697863"
"7","true","0","1","8","39.563866742605285","361","20.389750126501767","18.49947567106918"
"8","true","0","1","8","40.388962417398055","348","26.603475659116828","18.676242944058394"
"4","true","0","1","9","40.343079727185945","284","27.546395289729627","21.231528912179687"
"6","true","0","1","10","38.35478301481899","298","23.283691625669505","20.308108193416093"
"1","true","0","1","9","38.47345446784474","283","19.418650486690314","20.307577350705316"
"2","true","0","1","9","37.73711662516806","310","25.186037031509173","19.715863455173587"
"3","true","0","1","7","39.464063758840496","344","19.528145943314538","18.836303155360017"
"5","true","0","1","12","35.74924657415523","270","23.34709981789495","20.050335224963362"
"7","true","0","1","9","39.02257677826972","356","20.027430983480954","18.345471965579456"
"1","true","0","1","10","38.073907284993616","277","18.928570191370955","20.174156718926863"
"6","true","0","1","11","38.07525050349072","296","22.797284216881","20.198570740983786"
"2","true","0","1","10","37.841341054680555","309","24.97691564025365","19.725997167407627"
"5","true","0","1","13","35.65260100903681","268","22.95410030205418","20.05538441343313"
"8","true","0","1","9","40.38397428559925","345","26.528077452227542","18.722522021771475"
"7","true","0","1","10","39.254776928147166","356","19.916179272966932","18.29044484882441"
"4","true","0","1","10","38.661177738701156","278","27.01622004246514","20.851311571454797"
"3","true","0","1","8","39.24738908550102","341","19.503293130901966","18.725638640254218"
"6","true","0","1","12","38.079291072245994","293","22.269578291499467","20.19167082357698"
"5","true","0","1","14","35.65156220438295","267","22.680860221402302","20.038241913740343"
"8","true","0","1","10","39.769448647349385","340","26.377154486481604","18.678769619703118"
"4","true","0","1","11","38.49727953889579","274","26.880977785077825","20.907194640105295"
"1","true","0","1","11","38.2102013793897","276","18.76557250598817","20.068426874559933"
"2","true","0","1","11","38.022841741530996","309","24.835408813523397","19.70629894527747"
"6","true","0","1","13","37.97556761442005","292","22.122506140706577","20.125210033989784"
"5","true","0","1","15","35.25039079374597","266","22.536934910000934","19.850489291665603"
"7","true","0","1","11","39.2609310875077","354","19.73805269519813","18.226993591124803"
"3","true","0","1","9","38.778188181215874","337","19.48280485597321","18.57009858448139"
"8","true","0","1","11","39.81618701127684","338","26.3042932055504","18.699634638801687"
"4","true","0","1","12","38.46081927857114","272","26.357567699376265","20.971709982566583"
"1","true","0","1","12","38.162747596248636","273","18.445919011903655","19.94224860543674"
"2","true","0","1","12","37.71594599561037","305","24.422944235743792","19.705935758809254"
"6","true","0","1","14","37.20908721632961","287","21.627561423274678","20.016283284949424"
"8","true","0","1","12","39.72691481561579","337","26.03307386546607","18.679191025655893"
"7","true","0","1","12","39.04500558097183","350","19.296498952028575","18.14771450830887"
"3","true","0","1","10","38.667517251552844","333","19.42757932310778","18.544115174767345"
"1","true","0","1","13","38.049860743367184","271","18.172254456738596","19.835512210592878"
"2","true","0","1","13","37.27485507571032","301","23.89694472663478","19.709633154662885"
"5","true","0","1","16","35.261468180596395","265","22.01460654076763","19.824453928004992"
"4","true","0","1","13","38.046239985224645","270","25.81938406390629","20.922653241492036"
"8","true","0","1","13","39.012372834460976","333","25.347943783319394","18.69774934671447"
"7","true","0","1","13","38.980264058149245","346","18.91072310152565","18.121237910433546"
"1","true","0","1","14","37.869371858172535","269","17.70698967497148","19.66928534983381"
"2","true","0","1","14","37.06308810759033","299","23.515872786920205","19.691867135898743"
"5","true","0","1","17","35.05206391742377","263","21.505932606521448","19.747458471438186"
"6","true","0","1","15","36.608052147856306","282","21.557117096580278","19.93712513548149"
"4","true","0","1","14","38.028584485564444","269","24.996793670301305","20.98342861783095"
"8","true","0","1","14","38.96760073974127","331","25.003236919710233","18.76567617656844"
"3","true","0","1","11","37.43711885264046","328","19.052876312893677","18.145690685506366"
"1","true","0","1","15","37.676598145113125","267","17.325091224156434","19.490934467243797"
"7","true","0","1","14","38.70201077551734","342","18.69738948685504","18.051404563468967"
"2","true","0","1","15","36.501849450027585","295","23.001616409088616","19.61483852313528"
"5","true","0","1","18","34.649274928772016","261","20.943855666468707","19.54720287588116"
"6","true","0","1","16","36.144256883873055","278","20.891242155878462","19.836374401817004"
"4","true","0","1","15","37.187443368898755","266","24.197533676092924","20.824427882537506"
"3","true","0","1","12","36.96329839968396","324","18.90206528473381","18.0066114758022"
"2","true","0","1","16","36.153055168688205","293","22.52723926029786","19.541677216072397"
"6","true","0","1","17","35.98083106608012","276","20.750117619342706","19.77567995843004"
"7","true","0","1","15","38.510218055409986","338","18.24172763043338","17.978523828128004"
"8","true","0","1","15","38.57772864026419","328","24.761554264327433","18.72374839735992"
"4","true","0","1","16","35.75780367279147","259","22.75793365177163","20.58484819284041"
"1","true","0","1","16","37.54746790382788","266","16.92243958982056","19.305291883598876"
