run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
6,TRUE,0,38,35.0308952,289,12.85391809,14.3875165
7,TRUE,0,37,32.99843726,271,15.20763603,16.55462521
8,TRUE,0,37,31.39601366,274,13.468594,16.22670022
6,TRUE,0,39,34.92847858,285,12.75305944,14.29987985
7,TRUE,0,38,32.55783594,267,15.07710756,16.41451915
5,TRUE,0,43,37.42192413,281,13.21417032,14.70295215
8,TRUE,0,38,31.45409294,273,12.89781138,15.93391234
7,TRUE,0,39,32.30422412,265,14.72589852,16.21449504
5,TRUE,0,44,37.54622842,279,13.02318961,14.54529027
8,TRUE,0,39,31.37253701,271,12.47979424,15.67488398
6,TRUE,0,40,34.56433342,281,12.62449361,14.16533796
7,TRUE,0,40,32.33438487,263,14.49456884,16.0981724
5,TRUE,0,45,37.74678566,502,12.82673061,14.40238427
8,TRUE,0,40,31.49598012,271,12.20173947,15.48141286
6,TRUE,0,41,34.31187333,276,12.50887299,14.06223487
7,TRUE,0,41,32.40055459,262,14.39595518,16.01842487
5,TRUE,0,46,37.97757549,529,12.69853887,14.26035216
8,TRUE,0,41,31.11874881,268,11.86463398,15.18344496
6,TRUE,0,42,34.63977898,276,12.45529505,13.95849112
5,TRUE,0,47,38.21727875,532,12.50320308,14.10992536
7,TRUE,0,42,32.31975172,260,14.13758074,15.80234817
6,TRUE,0,43,34.90613391,275,12.46659678,13.87536501
8,TRUE,0,42,31.11143682,266,11.66638557,14.94443549
5,TRUE,0,48,38.02357922,526,12.43660431,13.98461733
7,TRUE,0,43,32.54732063,259,13.99376217,15.67879884
6,TRUE,0,44,34.62202494,271,12.42310338,13.70474721
8,TRUE,0,43,31.20298724,264,11.43881732,14.71209648
7,TRUE,0,44,32.03967196,255,13.88113073,15.43859973
6,TRUE,0,45,34.58470865,439,12.36124193,13.54709699
5,TRUE,0,49,37.55183939,529,12.11556832,13.67028578
8,TRUE,0,44,31.20442268,261,11.23644067,14.48719607
5,TRUE,0,50,37.75355782,530,11.96176681,13.51231595
7,TRUE,0,45,31.96279491,348,13.80902742,15.33866454
6,TRUE,0,46,34.08663323,459,12.27946627,13.31076606
9,TRUE,0,0,46.27935287,417,34.72638031,14.40330553
8,TRUE,0,45,30.89881682,301,11.06219261,14.17346826
9,TRUE,0,1,45.04212216,408,23.29595432,19.37258388
7,TRUE,0,46,32.13207541,351,13.63403713,15.19979905
9,TRUE,0,2,44.86484085,404,23.15383204,19.33998989
6,TRUE,0,47,34.21504909,464,12.23538059,13.1773731
8,TRUE,0,46,30.73821266,301,10.80413768,13.88987143
9,TRUE,0,3,44.95249168,402,23.08723314,19.31611442
7,TRUE,0,47,32.18612247,351,13.56509003,15.08947148
