run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
7,TRUE,FALSE,0,141,61.71510802,413
15,FALSE,TRUE,0.4,68,36.2260092,137
13,FALSE,TRUE,0,92,42.01365674,422
14,FALSE,TRUE,0.2,148,25.10856795,49
15,FALSE,TRUE,0.4,69,36.62191032,137
14,FALSE,TRUE,0.2,149,24.72276558,48
14,FALSE,TRUE,0.2,150,24.87567935,48
16,FALSE,TRUE,0.6,0,37.65312874,181
15,FALSE,TRUE,0.4,70,36.73701481,135
7,TRUE,FALSE,0,142,61.44997199,428
13,FALSE,TRUE,0,93,42.60972904,438
15,FALSE,TRUE,0.4,71,37.07451888,135
16,FALSE,TRUE,0.6,1,38.08247382,182
16,FALSE,TRUE,0.6,2,38.14521246,179
16,FALSE,TRUE,0.6,3,37.81385767,173
13,FALSE,TRUE,0,94,43.46508857,458
15,FALSE,TRUE,0.4,72,37.45165521,135
7,TRUE,FALSE,0,143,62.14455613,439
15,FALSE,TRUE,0.4,73,37.85314513,135
16,FALSE,TRUE,0.6,4,37.40095283,166
13,FALSE,TRUE,0,95,42.82483328,468
15,FALSE,TRUE,0.4,74,38.23531825,135
16,FALSE,TRUE,0.6,5,36.70834717,161
16,FALSE,TRUE,0.6,6,35.63463003,158
15,FALSE,TRUE,0.4,75,38.14434482,134
16,FALSE,TRUE,0.6,7,35.42352093,155
7,TRUE,FALSE,0,144,62.21063214,440
15,FALSE,TRUE,0.4,76,37.74366756,132
16,FALSE,TRUE,0.6,8,35.50910321,154
13,FALSE,TRUE,0,96,43.69151373,488
16,FALSE,TRUE,0.6,9,33.35243404,155
15,FALSE,TRUE,0.4,77,37.6189048,131
16,FALSE,TRUE,0.6,10,33.58641577,155
15,FALSE,TRUE,0.4,78,37.63987582,130
16,FALSE,TRUE,0.6,11,33.23114923,155
7,TRUE,FALSE,0,145,60.44593226,423
13,FALSE,TRUE,0,97,44.50970088,504
15,FALSE,TRUE,0.4,79,37.49553903,129
16,FALSE,TRUE,0.6,12,32.91134201,159
15,FALSE,TRUE,0.4,80,37.68546255,128
16,FALSE,TRUE,0.6,13,32.56915396,158
13,FALSE,TRUE,0,98,45.31049238,525
7,TRUE,FALSE,0,146,61.58581356,425
16,FALSE,TRUE,0.6,14,32.97889334,159
15,FALSE,TRUE,0.4,81,37.32673816,126
16,FALSE,TRUE,0.6,15,33.32313588,159
15,FALSE,TRUE,0.4,82,37.0768392,124
13,FALSE,TRUE,0,99,46.09598934,546
15,FALSE,TRUE,0.4,83,36.76980128,123
16,FALSE,TRUE,0.6,16,33.28746153,162
7,TRUE,FALSE,0,147,61.21265059,422
16,FALSE,TRUE,0.6,17,33.64741641,163
15,FALSE,TRUE,0.4,84,37.05095575,122
16,FALSE,TRUE,0.6,18,33.98240912,162
16,FALSE,TRUE,0.6,19,33.34946285,160
15,FALSE,TRUE,0.4,85,36.94144804,121
13,FALSE,TRUE,0,100,46.87985606,571
15,FALSE,TRUE,0.4,86,37.22858808,120
16,FALSE,TRUE,0.6,20,33.59155292,162
15,FALSE,TRUE,0.4,87,37.57343657,120
7,TRUE,FALSE,0,148,61.8372973,416
16,FALSE,TRUE,0.6,21,33.4415102,162
13,FALSE,TRUE,0,101,46.96314058,591
16,FALSE,TRUE,0.6,22,33.83889795,164
15,FALSE,TRUE,0.4,88,37.92387056,120
16,FALSE,TRUE,0.6,23,32.86309565,166
15,FALSE,TRUE,0.4,89,37.58139042,118
13,FALSE,TRUE,0,102,47.92818278,607
7,TRUE,FALSE,0,149,61.11297953,391
16,FALSE,TRUE,0.6,24,33.27843546,166
15,FALSE,TRUE,0.4,90,37.38390318,117
16,FALSE,TRUE,0.6,25,32.9293064,169
15,FALSE,TRUE,0.4,91,36.00870104,115
16,FALSE,TRUE,0.6,26,33.27444336,172
13,FALSE,TRUE,0,103,47.38193981,608
16,FALSE,TRUE,0.6,27,33.21296847,174
15,FALSE,TRUE,0.4,92,36.38873458,115
7,TRUE,FALSE,0,150,61.38132463,388
17,FALSE,TRUE,0.8,0,34.35824062,178
15,FALSE,TRUE,0.4,93,36.73178126,115
17,FALSE,TRUE,0.8,1,34.76113728,180
16,FALSE,TRUE,0.6,28,33.54821016,176
17,FALSE,TRUE,0.8,2,35.20655595,182
15,FALSE,TRUE,0.4,94,35.60937897,112
16,FALSE,TRUE,0.6,29,33.9514666,177
13,FALSE,TRUE,0,104,47.72729393,619
17,FALSE,TRUE,0.8,3,35.60571603,181
15,FALSE,TRUE,0.4,95,35.79394889,111
16,FALSE,TRUE,0.6,30,34.29990278,178
16,FALSE,TRUE,0.6,31,34.32310095,179
15,FALSE,TRUE,0.4,96,36.02590465,110
17,FALSE,TRUE,0.8,4,36.05039156,185
16,FALSE,TRUE,0.6,32,34.6881685,178
13,FALSE,TRUE,0,105,48.04369966,620
15,FALSE,TRUE,0.4,97,35.75262792,109
17,FALSE,TRUE,0.8,5,36.529012,187
16,FALSE,TRUE,0.6,33,34.94229665,176
15,FALSE,TRUE,0.4,98,36.06554245,109
17,FALSE,TRUE,0.8,6,36.32835552,186
16,FALSE,TRUE,0.6,34,35.26157765,176
15,FALSE,TRUE,0.4,99,36.25257643,108
17,FALSE,TRUE,0.8,7,36.67308331,187
16,FALSE,TRUE,0.6,35,35.64874562,176
13,FALSE,TRUE,0,106,48.95687842,628
15,FALSE,TRUE,0.4,100,36.26729553,106
16,FALSE,TRUE,0.6,36,36.06534946,176
17,FALSE,TRUE,0.8,8,37.01907276,188
15,FALSE,TRUE,0.4,101,36.58105223,106
16,FALSE,TRUE,0.6,37,35.55762303,170
13,FALSE,TRUE,0,107,49.81713777,628
17,FALSE,TRUE,0.8,9,36.6619868,185
16,FALSE,TRUE,0.6,38,35.94790333,169
15,FALSE,TRUE,0.4,102,36.92477107,106
17,FALSE,TRUE,0.8,10,37.06432827,188
16,FALSE,TRUE,0.6,39,35.46121248,166
15,FALSE,TRUE,0.4,103,37.10549215,105
17,FALSE,TRUE,0.8,11,37.28966272,186
15,FALSE,TRUE,0.4,104,37.46755737,105
16,FALSE,TRUE,0.6,40,35.22452483,164
13,FALSE,TRUE,0,108,49.41393155,637
16,FALSE,TRUE,0.6,41,35.09832698,162
17,FALSE,TRUE,0.8,12,37.77553932,190
15,FALSE,TRUE,0.4,105,36.62821129,102
16,FALSE,TRUE,0.6,42,34.29715237,160
15,FALSE,TRUE,0.4,106,36.62314436,100
17,FALSE,TRUE,0.8,13,38.1455042,191
16,FALSE,TRUE,0.6,43,34.67936032,160
15,FALSE,TRUE,0.4,107,36.67559984,99
17,FALSE,TRUE,0.8,14,38.50145504,192
13,FALSE,TRUE,0,109,50.42070323,645
17,FALSE,TRUE,0.8,15,36.81591311,190
16,FALSE,TRUE,0.6,44,34.6805306,157
15,FALSE,TRUE,0.4,108,36.59464137,98
16,FALSE,TRUE,0.6,45,34.27275663,155
15,FALSE,TRUE,0.4,109,36.89541974,98
16,FALSE,TRUE,0.6,46,33.42130478,154
17,FALSE,TRUE,0.8,16,37.11377719,192
13,FALSE,TRUE,0,110,51.50738152,658
15,FALSE,TRUE,0.4,110,36.01961357,96
16,FALSE,TRUE,0.6,47,33.17847603,152
17,FALSE,TRUE,0.8,17,37.58482567,195
15,FALSE,TRUE,0.4,111,36.34265239,96
17,FALSE,TRUE,0.8,18,38.08005053,196
16,FALSE,TRUE,0.6,48,33.52876479,152
15,FALSE,TRUE,0.4,112,35.92842384,94
17,FALSE,TRUE,0.8,19,36.81566993,193
13,FALSE,TRUE,0,111,52.84273046,673
16,FALSE,TRUE,0.6,49,33.53645468,151
15,FALSE,TRUE,0.4,113,35.94936717,93
16,FALSE,TRUE,0.6,50,33.89315128,151
16,FALSE,TRUE,0.6,51,34.20087444,149
15,FALSE,TRUE,0.4,114,35.82001676,91
17,FALSE,TRUE,0.8,20,36.91110581,195
15,FALSE,TRUE,0.4,115,35.99740887,90
17,FALSE,TRUE,0.8,21,37.26489106,198
16,FALSE,TRUE,0.6,52,34.41362533,148
15,FALSE,TRUE,0.4,116,36.11143637,89
17,FALSE,TRUE,0.8,22,36.97239447,200
16,FALSE,TRUE,0.6,53,33.73330751,144
13,FALSE,TRUE,0,112,53.92473723,697
16,FALSE,TRUE,0.6,54,34.06688129,143
15,FALSE,TRUE,0.4,117,36.290462,88
17,FALSE,TRUE,0.8,23,37.35676711,203
16,FALSE,TRUE,0.6,55,34.36369835,142
15,FALSE,TRUE,0.4,118,35.03281406,83
15,FALSE,TRUE,0.4,119,34.6742252,82
17,FALSE,TRUE,0.8,24,37.46911438,204
16,FALSE,TRUE,0.6,56,34.70367567,142
13,FALSE,TRUE,0,113,54.49678294,701
15,FALSE,TRUE,0.4,120,33.8024355,80
16,FALSE,TRUE,0.6,57,32.7254543,138
17,FALSE,TRUE,0.8,25,37.42129259,211
15,FALSE,TRUE,0.4,121,34.07504662,80
16,FALSE,TRUE,0.6,58,33.00681237,138
17,FALSE,TRUE,0.8,26,37.84226794,212
16,FALSE,TRUE,0.6,59,33.34742938,138
15,FALSE,TRUE,0.4,122,34.0588365,79
17,FALSE,TRUE,0.8,27,38.06366758,215
15,FALSE,TRUE,0.4,123,33.73334634,78
13,FALSE,TRUE,0,114,57.86319477,712
16,FALSE,TRUE,0.6,60,33.68295729,137
15,FALSE,TRUE,0.4,124,33.39935464,77
16,FALSE,TRUE,0.6,61,33.05957571,133
17,FALSE,TRUE,0.8,28,38.14937963,216
15,FALSE,TRUE,0.4,125,33.48429777,76
16,FALSE,TRUE,0.6,62,33.33147933,132
17,FALSE,TRUE,0.8,29,38.57855516,216
15,FALSE,TRUE,0.4,126,33.70312625,76
16,FALSE,TRUE,0.6,63,33.14442432,131
15,FALSE,TRUE,0.4,127,31.07675422,74
17,FALSE,TRUE,0.8,30,38.95941287,215
13,FALSE,TRUE,0,115,58.19907135,731
17,FALSE,TRUE,0.8,31,39.24104907,216
16,FALSE,TRUE,0.6,64,33.51003282,131
15,FALSE,TRUE,0.4,128,31.14761835,73
16,FALSE,TRUE,0.6,65,33.53524151,130
15,FALSE,TRUE,0.4,129,30.70354933,71
16,FALSE,TRUE,0.6,66,33.87895903,130
15,FALSE,TRUE,0.4,130,30.65335168,70
16,FALSE,TRUE,0.6,67,34.20508348,130
17,FALSE,TRUE,0.8,32,39.20695716,213
15,FALSE,TRUE,0.4,131,29.8694766,68
17,FALSE,TRUE,0.8,33,39.68258957,213
16,FALSE,TRUE,0.6,68,33.95654175,129
13,FALSE,TRUE,0,116,58.61683236,746
