ID,Dead,GR,DBH,SL
1045,0,1.5,12.7,12
1046,0,4.5,77.9,12
1081,1,3.25,10.2,12
1083,0,1.25,9.1,12
1104,0,1,29,12
1109,1,1.25,64.8,12
1115,0,2.75,11.1,12
1118,0,4,22.6,12
1119,0,7.25,11.8,12
1124,0,4.5,11.3,12
1126,0,7,11.7,12
1144,1,22,138,12
1155,1,0.75,113,12
1156,0,12.75,48.7,12
1169,0,3.5,68.9,12
1173,1,-0.25,8.8,12
1187,0,3.5,21.1,12
1188,0,0,16.9,12
1192,0,3.75,42.6,12
1195,0,3.5,39.6,12
1211,0,0.25,61.9,12
1216,0,0,4.5,12
1219,0,1.75,15.3,12
1221,0,2.5,15.3,12
1224,0,5.25,53.3,12
1226,0,2.5,38.6,12
1234,0,1.75,20.8,12
1236,0,0.5,8.2,12
1237,0,2.75,7.1,12
1243,0,0.75,33.7,12
1253,0,3,70.9,12
1262,0,3.25,44,12
1263,0,-0.25,75,12
1266,1,0,35,12
1268,0,0,10.2,12
1270,0,0,57.3,12
1276,0,2.75,14.5,12
1287,0,3.5,80,12
1291,0,2.5,38,12
1310,0,3.25,39.3,12
1312,0,5.25,17.1,12
1315,0,1.25,12,12
1317,0,3,30.2,12
1317,0,3,30.2,12
1331,0,3.25,32.3,12
1331,0,3.25,32.3,12
1338,0,0,8,12
1338,0,0,8,12
1346,0,0.5,13.9,12
1348,0,-1,41,12
1353,0,3,20,12
1360,0,0.75,31.2,12
1360,0,0.75,31.2,12
1361,0,2,52.4,12
1364,0,1,19.4,12
1364,0,1,19.4,12
1365,0,3.25,42,12
1365,0,3.25,42,12
1372,0,4.25,9.7,12
1372,0,4.25,9.7,12
1374,0,2.5,18,12
1374,0,2.5,18,12
1380,0,5.5,21,12
1384,0,2,30.7,12
1385,0,2.75,17.3,12
1386,0,-1,22.8,12
1398,0,2.25,38.1,12
1399,0,0,35.7,12
1428,0,2.25,20.3,12
1432,0,-0.5,23,12
1452,0,0,8.9,12
1458,0,-0.25,55.9,12
1471,0,1.75,27.1,12
1474,0,2.75,42.2,12
1476,0,0.5,25.7,12
1478,0,3,19.7,12
1502,0,0.5,47,12
1509,0,3.75,25.1,12
1534,0,2.75,81,12
1537,0,2.5,24,12
1540,0,0,78.9,12
1544,0,0.5,13.3,12
1547,0,0.5,9.4,12
1554,0,2.25,16.8,12
1557,0,3,12.7,12
1564,0,-0.25,12,12
1572,0,0.25,3.9,12
1575,0,0,73.8,12
1583,0,0,7.5,12
1594,0,2.25,11.7,12
1598,0,2.75,17.7,12
1610,0,2.5,77.4,12
1621,0,2.25,15.9,12
1623,1,3.25,14.7,12
1624,0,1.5,14.3,12
1627,0,3.75,13.9,12
1628,0,0.75,7.3,12
1630,0,1,20.4,12
1644,0,3.5,15.1,12
1665,0,1.75,10.7,12
1671,0,1.75,6.7,12
1672,0,1.75,10.7,12
1674,0,0.5,6.2,12
1675,0,1.75,23.7,12
1677,0,3.25,53.2,12
1681,0,-0.25,45.9,12
1685,1,7.75,12,12
1690,0,1,7.4,12
1691,0,-0.5,11.8,12
1693,0,2.75,18.1,12
1700,0,1.25,19,12
1701,0,1,14.4,12
1702,0,0,8,12
16,0,4,92,18
17,0,0.875,30.9,18
18,0,-0.25,48.1,18
42,0,-0.75,84.4,18
133,0,0,46.2,18
139,0,0.75,61.1,18
170,0,0.75,62.7,18
173,0,2.625,59.2,18
174,0,1.5,91,18
175,0,2.75,59.5,18
177,0,1.125,54.7,18
212,0,4.375,28.3,18
213,0,3,10.8,18
215,0,2.375,14,18
216,0,3.75,37.9,18
217,0,1.125,9.5,18
218,0,3.25,30.9,18
221,0,0.75,37.2,18
222,0,4.375,59.8,18
223,0,1,25.1,18
225,0,4.25,49.7,18
230,0,1.875,99.3,18
239,0,7.125,33.1,18
240,0,6.875,18.8,18
258,0,6.875,29,18
260,0,4.375,22,18
261,0,3.125,17.2,18
266,0,3.375,18.5,18
273,0,4.25,9.9,18
280,1,-0.375,54.7,18
289,0,2.125,85.6,18
297,0,0.75,17.8,18
298,0,4.5,62.7,18
305,0,1.375,17.2,18
306,0,4.625,22.3,18
308,0,3.125,26.4,18
311,0,2,11.5,18
324,0,5.375,64.6,18
327,0,4.625,53.2,18
344,0,4.875,46.2,18
345,0,3.5,27.4,18
349,0,1.875,59.8,18
350,0,2.125,32.1,18
354,0,4.5,30.2,18
375,0,3.875,57,18
377,0,3,25.1,18
384,0,4.5,18.1,18
386,1,0.875,33.7,18
387,0,4.75,19.7,18
389,0,2.625,16.6,18
390,0,3,53.8,18
391,0,2.75,36.9,18
395,0,3.25,9.9,18
398,0,5.625,30.2,18
415,0,2.625,27.4,18
432,0,2.875,51.6,18
435,0,4,29,18
437,0,4,60.2,18
440,0,4.75,15.9,18
452,0,6.25,43,18
465,0,1.625,100.6,18
471,0,4,12.7,18
477,0,3.375,43.6,18
483,0,3.875,40.1,18
492,0,15,50,18
493,0,0.75,7.6,18
498,0,3.5,59.8,18
506,0,4.375,54.1,18
512,0,3.875,29.6,18
514,0,0.875,10.8,18
518,0,3,20.4,18
522,0,3.25,46.8,18
525,0,2.875,67.2,18
528,0,1.625,28.6,18
532,0,2.375,42,18
533,0,2.375,44.6,18
533,0,2.375,44.6,18
537,0,1,62.7,18
543,0,1.875,32.1,18
548,0,1.875,6.7,18
551,0,3.125,14,18
555,0,5,34.7,18
561,0,3.5,22.9,18
565,0,1.25,55.1,18
567,0,4.375,23.6,18
569,0,4,29.3,18
573,0,7.125,62.1,18
575,0,5.5,45.2,18
579,0,3.75,21,18
581,0,3,7.6,18
582,1,3.5,19.1,18
585,0,1.5,17.5,18
586,0,4.5,32.8,18
588,0,2,33.7,18
589,0,4.25,14.6,18
591,0,3.5,32.5,18
596,0,2.375,12.1,18
597,0,2.25,19.7,18
598,0,3.5,50.9,18
603,0,2.75,22.9,18
607,0,1,12.4,18
609,0,2.625,18.1,18
610,0,4.375,46.2,18
610,0,4.375,46.2,18
612,0,4.25,46.2,18
620,1,0.5,15.6,18
632,0,4.25,39.2,18
639,0,2.875,31.5,18
643,0,1.375,4.1,18
648,0,0.5,27.4,18
649,0,2.75,78,18
652,1,0.875,22.9,18
653,0,1.875,37.9,18
660,0,3.875,14,18
662,0,4.25,73.8,18
665,0,4,17.8,18
668,0,3.375,24.8,18
671,0,2.625,84.4,18
674,0,5.25,18.8,18
680,0,3.25,17.2,18
698,0,1.375,12.4,18
699,0,4.625,22.3,18
700,0,7.25,27.7,18
701,0,4.375,39.8,18
703,0,1.875,18.5,18
707,1,2,17.8,18
709,0,5,31.8,18
710,0,4.25,19.1,18
713,0,2.75,38.5,18
715,0,1.75,26.7,18
720,0,1.25,55.7,18
721,0,1.75,39.2,18
724,0,0.5,5.4,18
726,0,1.375,24.8,18
727,0,1.25,51.9,18
729,0,2.875,68.4,18
731,0,2.25,28.6,18
732,0,2.125,67.8,18
734,0,2.375,42,18
736,0,2.125,40.1,18
737,0,1.875,37.9,18
738,0,3,43,18
741,0,-0.25,13.4,18
757,0,4,13.4,18
760,0,1.875,53.8,18
762,0,4.875,28,18
768,1,6.625,18.5,18
776,1,-0.375,27.7,18
777,0,1.375,12.1,18
786,0,4.25,29.3,18
788,0,1.125,35.3,18
790,0,1,18.8,18
801,0,1.625,12.4,18
802,0,2.5,15.6,18
818,0,3.125,21.3,18
834,1,-0.625,21.6,18
837,0,4.625,32.8,18
839,1,3.75,29,18
845,0,4.875,27.4,18
