Block,Year,F_BA,I_BA,Q_BA,FS,IS,QS,FM,IM,QM,SDM,BAM,BAFM,BAQM,SDS,Northing,Easting
23,1996,36.31009592,0.259672268,14.28656931,1,0,0,10,1,1,12,50.8563375,36.31009592,14.28656931,1,106473,433024
23,2014,33.88637696,0,15.93320108,0,0,0,7,0,1,8,49.81957804,33.88637696,15.93320108,0,106473,433024
24,1964,9.59167507,1.959568418,39.91589816,2,2,0,14,6,2,22,51.46714165,9.59167507,39.91589816,4,106451,433021
24,1984,11.40321557,2.309365125,40.42809557,0,1,0,11,5,2,18,54.14067627,11.40321557,40.42809557,1,106451,433021
24,1988,12.42598069,0.418538681,40.8003743,0,1,0,11,2,2,15,53.64489367,12.42598069,40.8003743,1,106451,433021
24,1996,14.2012947,0,41.03982257,0,1,0,10,1,2,13,55.24111727,14.2012947,41.03982257,1,106451,433021
24,2014,17.48436455,0,0,0,3,0,9,3,0,12,17.48436455,17.48436455,0,3,106451,433021
27,1964,11.71863147,0.331830724,6.834927517,5,11,0,15,13,1,32,20.07526793,11.71863147,6.834927517,16,106384,433009
27,1984,13.3294831,0.96238764,7.793113276,2,3,0,11,6,1,21,23.62191005,13.3294831,7.793113276,5,106384,433009
27,1988,12.17704874,0.993783931,7.54767635,0,2,0,10,5,1,18,21.66933168,12.17704874,7.54767635,2,106384,433009
27,1996,14.14070123,1.182966714,7.867510117,0,2,0,10,5,1,18,24.23183063,14.14070123,7.867510117,2,106384,433009
27,2014,17.93288375,2.129741407,8.607100278,0,1,0,9,4,1,16,30.05516873,17.93288375,8.607100278,1,106384,433009
28,1964,11.39759997,1.237002107,49.33282214,4,24,0,17,29,4,50,61.96742422,11.39759997,49.33282214,28,106367,433016
28,1984,14.72482148,2.300941729,52.47362939,1,13,0,12,20,4,36,69.49939261,14.72482148,52.47362939,14,106367,433016
28,1988,11.88639252,2.402847141,47.9525045,1,8,0,11,14,3,28,62.24174416,11.88639252,47.9525045,9,106367,433016
28,1996,8.256458923,1.967834733,50.84630403,0,8,0,6,12,3,21,61.07059769,8.256458923,50.84630403,8,106367,433016
28,2014,9.696514909,1.177348691,53.56822153,0,6,0,4,9,3,16,64.44208513,9.696514909,53.56822153,6,106367,433016
29,1964,9.173450548,0.520326283,15.90431281,6,10,0,18,12,1,31,25.59808964,9.173450548,15.90431281,16,106349,433018
29,1984,12.5532152,0.477836243,18.13329243,2,3,0,14,4,1,19,31.16434387,12.5532152,18.13329243,5,106349,433018
29,1988,6.294711025,0.483981983,19.59570381,1,3,0,8,4,1,13,26.37439682,6.294711025,19.59570381,4,106349,433018
29,1996,5.772440882,0,20.22842057,0,1,0,6,1,1,8,26.00086145,5.772440882,20.22842057,1,106349,433018
29,2014,9.00230094,0.458366236,18.50673573,0,0,0,6,1,1,8,27.9674029,9.00230094,18.50673573,0,106349,433018
30,1964,37.77961515,0.454058313,11.34114948,7,15,0,15,18,1,34,49.57482295,37.77961515,11.34114948,22,106333,433009
30,1984,11.32021862,0.941338969,12.44102107,2,7,0,7,10,1,18,24.70257865,11.32021862,12.44102107,9,106333,433009
30,1988,5.765843537,0,12.40978186,2,3,0,6,3,1,10,18.17562539,5.765843537,12.40978186,5,106333,433009
30,1996,6.146447487,0,0,0,2,0,5,2,0,7,6.146447487,6.146447487,0,2,106333,433009
30,2014,9.16150562,0,0,0,0,0,5,0,0,5,9.16150562,9.16150562,0,0,106333,433009
31,1964,43.08301625,0.644517368,9.34820164,10,9,0,14,11,1,26,53.07573526,43.08301625,9.34820164,19,106309,433012
31,1984,45.27410041,1.528561541,12.44102107,5,8,0,10,12,1,23,59.24368302,45.27410041,12.44102107,13,106309,433012
31,1988,27.16815947,1.629583379,12.03797436,4,9,0,9,13,1,23,40.83571722,27.16815947,12.03797436,13,106309,433012
31,1996,1.807711683,2.239503958,0,1,7,0,5,11,0,18,4.047215641,1.807711683,0,10,106309,433012
31,2014,5.366754417,0.601804629,9.893270207,0,6,0,5,7,1,19,16.10553526,5.366754417,9.893270207,11,106309,433012
32,1964,36.41253148,0,0,2,14,0,13,14,0,27,36.41253148,36.41253148,0,16,106291,433008
32,1984,41.38304156,0,0,1,0,0,10,0,0,10,41.38304156,41.38304156,0,1,106291,433008
32,1988,24.82861542,0,0,0,0,0,9,0,0,9,24.82861542,24.82861542,0,0,106291,433008
32,1996,18.97066432,0,0,0,0,0,7,0,0,7,18.97066432,18.97066432,0,0,106291,433008
