Block,Year,Tree_ID,GBH,DBH,Status,Snag,Species,Easting,Northing,In_out
4,2014,140,154,49.01972247,1,No,F,433045.8,106828.3,In
4,1964,141,NA,0.5,1,No,F,433045.7,106843.9,In
4,1964,142,NA,0.8,1,No,A,433043.9,106842.2,In
4,1959,143,NA,87,NA,No,F,433043.8,106831,In
4,1964,143,NA,89,1,No,F,433043.8,106831,In
4,1984,143,301,95.8,1,No,F,433043.8,106831,In
4,1988,143,301,95.8,1,No,F,433043.8,106831,In
4,1996,143,302,96.1,1,No,F,433043.8,106831,In
5,1964,144,NA,0.7,1,No,I,433053.4,106809.7,In
5,1959,145,NA,1.2,NA,No,I,433053.2,106812.7,In
5,1964,145,NA,1.5,1,No,I,433053.2,106812.7,In
5,1959,146,NA,52.5,NA,No,F,433052.5,106813.5,In
5,1964,146,NA,57,1,No,F,433052.5,106813.5,In
5,1984,146,190,60.5,1,No,F,433052.5,106813.5,In
5,1988,146,190,60.5,1,No,F,433052.5,106813.5,In
5,1996,146,192,61.1,1,No,F,433052.5,106813.5,In
5,2014,146,208,66.20845633,1,No,F,433052.5,106813.5,In
5,1964,147,NA,0.6,1,No,I,433052.2,106827.7,In
5,1959,149,NA,0.75,NA,No,A,433049.4,106818.7,In
5,1964,149,NA,0.8,1,No,A,433049.4,106818.7,In
5,1964,150,NA,0.9,1,No,I,433049.2,106826,In
5,1959,151,NA,75.8,NA,No,Q,433048.7,106820.5,In
5,1964,151,NA,81,1,No,Q,433048.7,106820.5,In
5,1984,151,267,85,1,No,Q,433048.7,106820.5,In
5,1988,151,266,84.7,1,No,Q,433048.7,106820.5,In
5,1959,152,NA,0.85,NA,No,A,433047,106817.8,In
5,1964,152,NA,1.7,1,No,A,433047,106817.8,In
5,1959,153,NA,0.4,NA,No,A,433046.9,106818.9,In
5,1964,153,NA,0.9,1,No,A,433046.9,106818.9,In
5,1959,154,NA,0.5,NA,No,A,433046.6,106819.4,In
5,1964,154,NA,0.6,1,No,A,433046.6,106819.4,In
5,1959,155,NA,2,NA,No,A,433042.7,106826.2,In
5,1964,155,NA,0.8,1,No,A,433042.7,106826.2,In
5,1964,156,NA,0.4,1,No,I,433039.3,106811.2,In
5,1959,157,NA,62.3,1,No,F,433038.8,106811.5,In
5,1964,157,NA,63,1,No,F,433038.8,106811.5,In
5,1984,157,220,70,1,No,F,433038.8,106811.5,In
5,1988,157,219,69.7,1,No,F,433038.8,106811.5,In
6,1964,159,NA,6,1,No,I,433055.8,106799.9,In
6,1959,160,NA,0.5,NA,No,I,433053.6,106803.8,In
6,1964,160,NA,0.7,1,No,I,433053.6,106803.8,In
6,1959,161,NA,57,1,No,Q,433053.6,106802.1,In
6,1964,161,NA,58,0,No,Q,433053.6,106802.1,In
6,1984,161,198,63,0,No,Q,433053.6,106802.1,In
