"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2"
37,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433039.3,106860.5,"I",1
37,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433039.3,106860.5,"I",1
39,1964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433040.6,106852.5,"I",NA
39,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,433040.6,106852.5,"I",0
39,1988,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,433040.6,106852.5,"I",0
39,1996,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,12,433040.6,106852.5,"I",0
39,2014,6.684508,0.00350936690482372,0,0,0,0,NA,NA,NA,NA,NA,NA,0,18,433040.6,106852.5,"I",0
40,1964,0.8,5.02654824574367e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433056,106852.6,"I",0
40,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.8,5.02654824574367e-05,2.5178113489557e-05,20,433056,106852.6,"I",1
40,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433056,106852.6,"I",1
40,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433056,106852.6,"I",1
40,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433056,106852.6,"I",1
41,1964,1,7.85398163397448e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433055.7,106861.5,"I",0
41,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,7.85398163397448e-05,5.41544049226978e-05,20,433055.7,106861.5,"I",1
41,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433055.7,106861.5,"I",1
41,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433055.7,106861.5,"I",1
41,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433055.7,106861.5,"I",1
42,1964,73,0.4185386812745,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433055,106867.5,"F",0
42,1984,84.4,0.559467386121885,0,0,0,0,NA,NA,NA,NA,73,0.4185386812745,0.519282474785848,20,433055,106867.5,"F",0
42,1988,85,0.567450173054656,0,0,0,0,5.7,70.4643524236922,0.675355450236967,0.0168358040908238,84.4,0.559467386121885,0.63749724982083,4,433055,106867.5,"F",0
42,1996,84.4,0.559467386121885,0,0,0,0,1.49999999999999,19.9569673319291,0.176470588235292,0.00356713685676422,85,0.567450173054656,0.677119066746301,12,433055,106867.5,"F",0
42,2014,87.53522,0.601804646433771,0,0,0,0,-0.749999999999993,-9.97848366596457,-0.0888625592417053,-0.00175847750865052,84.4,0.559467386121885,0.668891169743815,18,433055,106867.5,"F",0
43,1964,0.6,2.82743338823081e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433054.5,106866.7,"I",0
43,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.6,2.82743338823081e-05,6.21961761337399e-06,20,433054.5,106866.7,"I",1
43,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433054.5,106866.7,"I",1
43,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433054.5,106866.7,"I",1
43,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433054.5,106866.7,"I",1
45,1964,0.8,5.02654824574367e-05,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433049.6,106865.2,"I",0
45,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,0.8,5.02654824574367e-05,2.5178113489557e-05,20,433049.6,106865.2,"I",1
