"ID2","Year","DBH","BA","Dead","Dead2","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL"
37,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
37,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
37,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
38,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
38,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
38,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
38,2014,5.092958,0.00203718789224406,0,2,NA,NA,NA,NA,NA,NA,0,18
39,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
39,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
39,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
39,2014,6.684508,0.00350937511125011,0,2,NA,NA,NA,NA,NA,NA,0,18
40,1964,0.8,5.02656e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
40,1984,NA,NA,NA,1,NA,NA,NA,NA,0.8,5.02656e-05,2.5178113489557e-05,20
40,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
40,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
40,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
41,1964,1,7.854e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
41,1984,NA,NA,NA,1,NA,NA,NA,NA,1,7.854e-05,5.41544049226978e-05,20
41,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
41,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
41,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
42,1964,73,0.41853966,0,0,NA,NA,NA,NA,NA,NA,NA,NA
42,1984,84.4,0.5594686944,0,0,NA,NA,NA,NA,73,0.41853966,0.519282474785848,20
42,1988,85,0.5674515,0,0,5.7,70.4645172,0.675355450236967,0.0168358040908238,84.4,0.5594686944,0.63749724982083,4
42,1996,84.4,0.5594686944,0,0,1.49999999999999,19.9570139999999,0.176470588235292,0.00356713685676421,85,0.5674515,0.677119066746301,12
42,2014,87.53522,0.601806053714817,0,0,-0.749999999999993,-9.97850699999997,-0.0888625592417053,-0.00175847750865051,84.4,0.5594686944,0.668891169743815,18
43,1964,0.6,2.82744e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
43,1984,NA,NA,NA,1,NA,NA,NA,NA,0.6,2.82744e-05,6.21961761337399e-06,20
43,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
43,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
43,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
44,1964,1.1,9.50334e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
44,1984,NA,NA,NA,1,NA,NA,NA,NA,1.1,9.50334e-05,6.63020955738188e-05,20
44,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
44,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
44,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
45,1964,0.8,5.02656e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
45,1984,NA,NA,NA,1,NA,NA,NA,NA,0.8,5.02656e-05,2.5178113489557e-05,20
45,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
45,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
45,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
46,1964,62,0.30190776,0,0,NA,NA,NA,NA,NA,NA,NA,NA
46,1984,63.3,0.3147011406,0,0,NA,NA,NA,NA,62,0.30190776,0.412516826576167,20
46,1988,63.3,0.3147011406,0,0,0.649999999999999,6.39669029999998,0.102685624012638,0.00211875650364203,63.3,0.3147011406,0.409086915431388,4
46,1996,63.3,0.3147011406,0,0,0,0,0,0,63.3,0.3147011406,0.405480684991803,12
46,2014,63.82113,0.319904151271816,1,0,0,0,0,0,63.3,0.3147011406,0.449639720891842,18
47,1964,40,0.125664,1,1,NA,NA,NA,NA,NA,NA,NA,NA
47,1984,NA,NA,NA,NA,NA,NA,NA,NA,40,0.125664,0.20742979485142,20
47,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
47,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
47,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
48,1964,0.5,1.9635e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
48,1984,NA,NA,NA,1,NA,NA,NA,NA,0.5,1.9635e-05,1.15807984207354e-06,20
48,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
48,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
48,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
49,1964,0.5,1.9635e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
49,1984,NA,NA,NA,1,NA,NA,NA,NA,0.5,1.9635e-05,1.15807984207354e-06,20
49,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
49,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
49,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
50,1964,0.9,6.36174e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
50,1984,NA,NA,NA,1,NA,NA,NA,NA,0.9,6.36174e-05,3.70990472485238e-05,20
50,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
50,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
50,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
51,1964,0.6,2.82744e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
51,1984,NA,NA,NA,1,NA,NA,NA,NA,0.6,2.82744e-05,6.21961761337399e-06,20
51,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
51,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12
51,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
