"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2","Dead_No","Dead_dist"
1579,1984,40.7,0.1301007246,0,0,0,0,NA,NA,NA,NA,3.8,0.0011341176,0.000560648317390974,20,432973,105951,"Q",0,0,NA
1587,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20,432969.3,105957.8,"Q",1,0,NA
1595,1984,48.4,0.1839846624,0,0,0,0,NA,NA,NA,NA,46,0.16619064,0.266056169625817,20,432988.4,105951.4,"Q",0,0,NA
1599,1984,76.1,0.4548416334,0,0,0,0,NA,NA,NA,NA,73,0.41853966,0.519282474785848,20,432986.8,105936,"Q",0,0,NA
1600,1984,84.4,0.5594686944,0,0,0,0,NA,NA,NA,NA,76,0.45364704,0.545654301343389,20,432986.5,105935.5,"Q",0,0,NA
1601,1984,39.2,0.1206877056,0,0,0,0,NA,NA,NA,NA,34,0.09079224,0.167452554764624,20,432985,105952,"Q",0,0,NA
1613,1984,31.2,0.0764539776,0,0,0,0,NA,NA,NA,NA,30,0.070686,0.139658031170326,20,432983,105946.5,"Q",0,0,NA
1614,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,24,0.04523904,0.105073758348095,20,432982.4,105953.5,"Q",1,0,NA
1616,1984,26.4,0.0547392384,0,0,0,0,NA,NA,NA,NA,26,0.05309304,0.117370460671204,20,432980.3,105948.3,"Q",0,0,NA
1618,1984,32.8,0.0844964736,0,0,0,0,NA,NA,NA,NA,33,0.08553006,0.156869486669367,20,432979.6,105943.5,"Q",0,0,NA
1622,1984,46.2,0.1676389176,0,0,0,0,NA,NA,NA,NA,44,0.15205344,0.24495320142669,20,432977.5,105945.7,"Q",0,0,NA
1625,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,25,0.0490875,0.109272000237123,20,432976.6,105942.5,"Q",1,0,NA
1635,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20,432974.2,105947.5,"Q",1,0,NA
1638,1984,41.4,0.1346144184,0,0,0,0,NA,NA,NA,NA,36,0.10178784,0.181062422447118,20,432973.3,105936.5,"Q",0,0,NA
1639,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,18,0.02544696,0.0670246645091288,20,432972.6,105937.3,"Q",1,0,NA
1641,1984,40.4,0.1281898464,1,1,1,1,NA,NA,NA,NA,54,0.22902264,0.330556357753053,20,432971.6,105953.5,"Q",0,0,NA
1642,1984,49.7,0.1940008686,0,0,0,0,NA,NA,NA,NA,50,0.19635,0.296253708892417,20,432971.6,105945.8,"Q",0,0,NA
1663,1984,29,0.06605214,0,0,0,0,NA,NA,NA,NA,28,0.06157536,0.127085576269438,20,432976.6,105918.5,"Q",0,0,NA
1667,1984,53.5,0.224801115,0,0,0,0,NA,NA,NA,NA,49,0.18857454,0.292364828191972,20,432974.7,105914.5,"Q",0,0,NA
1673,1984,29.3,0.0674258046,0,0,0,0,NA,NA,NA,NA,17,0.02269806,0.0623437543782302,20,432973.4,105909.3,"Q",0,0,NA
1679,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,22,0.03801336,0.0899515031795366,20,432970.9,105911.5,"Q",1,0,NA
1695,1984,102.5,0.825160875,0,0,0,0,NA,NA,NA,NA,94,0.69397944,0.733547491720539,20,432963.8,105919.4,"Q",0,0,NA
1696,1984,31,0.07547694,0,0,0,0,NA,NA,NA,NA,32,0.08042496,0.150182992811968,20,432963.7,105909.3,"Q",0,0,NA
2,1988,32.1,0.0809284014,0,0,0,0,0.5,2.39547,0.161290322580645,0.00338888888888889,31,0.07547694,0.117230921248797,4,433050.2,106902,"Q",0,2,1.11803398872647
6,1988,44.7,0.1569299886,0,0,0,0,2.25,14.9324175,0.50561797752809,0.0118828125,44.5,0.155528835,0.215522737355892,4,433048,106898.9,"Q",0,2,4.39317652729478
7,1988,23.2,0.0422733696,0,0,0,0,0.25,0.873757499999999,0.111111111111111,0.00229855371900826,22.5,0.039760875,0.0694753925552774,4,433062,106908.6,"Q",0,0,9.88989383158625
8,1988,70.3,0.3881517486,1,1,1,1,2.5,26.50725,0.357142857142857,0.00798816568047338,70,0.384846,0.471129175214253,4,433059,106890.7,"Q",0,0,13.5092560861177
11,1988,24.4,0.0467595744,0,0,0,0,0,0,0,0,25,0.0490875,0.0838827255610646,4,433057,106907,"Q",0,2,4.7169905660283
12,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433053,106904.5,"Q",1,2,3.1906112267125
13,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433051.3,106901.8,"Q",1,2,3.1906112267125
25,1988,84.7,0.5634530286,0,0,0,0,1.7,22.0838772,0.201421800947868,0.00428562719097698,84.4,0.5594686944,0.63749724982083,4,433052,106872.7,"Q",0,0,13.8050715318742
46,1988,63.3,0.3147011406,0,0,0,0,0.649999999999999,6.39669029999998,0.102685624012638,0.00211875650364203,63.3,0.3147011406,0.409086915431388,4,433048.8,106852.8,"Q",0,1,6.61891229734046
47,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433048.3,106859.4,"Q",1,1,29.438240436542
54,1988,68.1,0.3642378894,0,0,0,0,-1.1,-11.7323052,-0.164670658682635,-0.0031375761394665,66.8,0.3504643296,0.440510068213685,4,433046.3,106867.8,"Q",0,1,8.63481325797765
69,1988,83,0.54106206,1,1,1,1,0,0,0,0,83,0.54106206,0.608855598381228,4,433043.5,106856,"Q",0,1,5.88217646792823
81,1988,52.6,0.2173013304,0,0,0,0,0.550000000000001,4.62639870000001,0.101663585951941,0.00209700961196156,54.1,0.2298716574,0.308166281196009,4,433042.4,106859.2,"Q",0,1,5.90338885722317
98,1988,60.8,0.2903341056,0,0,0,0,1.05,9.90428670000001,0.171849427168576,0.00362266590060328,61.1,0.2932063134,0.380372949049552,4,433040.8,106850.6,"Q",0,0,11.5624391890204
99,1988,65.9,0.3410842974,0,0,0,0,1.9,19.3695348,0.284431137724551,0.00621365583270345,66.8,0.3504643296,0.440510068213685,4,433040.7,106851.8,"Q",0,0,10.7480230740129
108,1988,NA,NA,NA,0,1,NA,0.75,6.0966675,0.142857142857143,0.00298442906574394,52.5,0.216475875,0.291896384602746,4,433060.3,106841.6,"Q",1,0,15.6464053379725
118,1988,78.6,0.4852169784,0,0,0,0,5.5,61.77171,0.714285714285714,0.0180555555555556,77,0.46566366,0.546503838236854,4,433053.3,106828.4,"Q",0,1,3.84837628098119
120,1988,74.8,0.4394344416,0,0,0,0,6.6,70.0828128,0.889487870619946,0.0239806503628057,74.2,0.4324129656,0.513500838305439,4,433052.3,106845,"Q",0,0,14.9452333538099
128,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433049.8,106830,"Q",1,1,29.438240436542
131,1988,38.5,0.116415915,1,1,1,1,0.149999999999999,0.993138299999988,0.0354609929078011,0.000716836734693869,42.3,0.1405308366,0.203372094274393,4,433047.2,106842.5,"Q",0,0,12.7675369590175
143,1988,84.7,0.5634530286,0,0,0,0,2,26.07528,0.235294117647059,0.00506020423715897,85,0.5674515,0.661050079632251,4,433048.7,106820.5,"Q",0,1,9.56347217280151
